FIGHTER 1,HEIGHT 1,WEIGHT 1,REACH 1,STANCE 1,DATE OF BIRTH 1,SIGNIFICANT STRIKES LANDED PER MINUTE 1,SIGNIFICANT STRIKING ACCURACY 1,SIGNIFICANT STRIKES ABSORBED PER MINUTE 1,SIGNIFICANT STRIKE DEFENCE 1,AVERAGE TAKEDOWNS LANDED PER 15 MINUTES 1,TAKE DOWN ACCURACY 1,TAKEDOWN DEFENSE 1,AVERAGE SUBMISSIONS 1,WIN/LOSS PERCENTAGE 1,WINS 1,LOSSES 1,DRAWS 1,NO CONTESTS 1,FIGHTER 2,HEIGHT 2,WEIGHT 2,REACH 2,STANCE 2,DATE OF BIRTH 2,SIGNIFICANT STRIKES LANDED PER MINUTE 2,SIGNIFICANT STRIKING ACCURACY 2,SIGNIFICANT STRIKES ABSORBED PER MINUTE 2,SIGNIFICANT STRIKE DEFENCE 2,AVERAGE TAKEDOWNS LANDED PER 15 MINUTES 2,TAKE DOWN ACCURACY 2,TAKEDOWN DEFENSE 2,AVERAGE SUBMISSIONS 2,WIN/LOSS PERCENTAGE 2,WINS 2,LOSSES 2,DRAWS 2,NO CONTESTS 2,WINNER
Darren Elkins,70.0,145.0,71.0,Orthodox,40.0,3.44,0.38,3.27,0.52,2.85,0.35,0.56,1.1,0.718,28.0,11.0,0.0,0.0,Tj Brown,69.0,145.0,72.0,Switch,34.0,3.37,0.44,2.89,0.49,3.41,0.57,0.36,1.3,0.607,17.0,11.0,0.0,0.0,1
Dooho Choi,70.0,145.0,70.0,Orthodox,33.0,4.74,0.53,4.91,0.54,0.29,0.2,0.5,0.0,0.737,14.0,4.0,1.0,0.0,Kyle Nelson,71.0,145.0,71.0,Switch,33.0,3.46,0.44,4.56,0.52,1.15,0.2,0.73,0.7,0.714,15.0,5.0,1.0,0.0,2
Spencer Fisher,67.0,155.0,68.0,Southpaw,48.0,3.17,0.43,3.03,0.64,0.67,0.3,0.6,0.8,0.727,24.0,9.0,0.0,0.0,Dan Lauzon,70.0,155.0,0.0,Orthodox,36.0,1.34,0.25,4.09,0.61,1.63,0.33,0.8,2.7,0.739,17.0,6.0,0.0,0.0,1
Marion Reneau,66.0,135.0,68.0,Orthodox,47.0,3.2,0.41,3.52,0.59,0.62,0.63,0.5,0.8,0.5,9.0,8.0,1.0,0.0,Yana Santos,66.0,135.0,68.0,Orthodox,35.0,4.16,0.56,3.03,0.5,1.11,0.53,0.42,0.1,0.609,14.0,8.0,0.0,1.0,0
Tyron Woodley,69.0,170.0,74.0,Orthodox,42.0,2.36,0.48,2.76,0.54,1.06,0.4,0.87,0.4,0.704,19.0,7.0,1.0,0.0,Kelvin Gastelum,69.0,170.0,71.0,Southpaw,33.0,3.55,0.41,3.23,0.58,0.96,0.3,0.59,0.1,0.643,18.0,9.0,0.0,1.0,1
Stipe Miocic,76.0,240.0,80.0,Orthodox,42.0,4.82,0.53,3.82,0.54,1.86,0.34,0.68,0.0,0.833,20.0,4.0,0.0,0.0,Shane Del Rosario,76.0,250.0,0.0,Southpaw,41.0,3.93,0.6,2.97,0.54,1.2,0.4,0.16,2.4,0.846,11.0,2.0,0.0,0.0,1
Dan Miller,73.0,185.0,74.0,Orthodox,43.0,2.03,0.36,3.06,0.49,1.67,0.54,0.47,1.8,0.609,14.0,8.0,0.0,1.0,Matt Horwich,73.0,185.0,0.0,Orthodox,46.0,1.11,0.62,2.16,0.38,0.33,0.09,0.28,2.7,0.536,30.0,25.0,1.0,0.0,1
Derrick Lewis,75.0,260.0,79.0,Orthodox,39.0,2.43,0.5,2.48,0.4,0.53,0.26,0.53,0.0,0.675,27.0,12.0,0.0,1.0,Marcin Tybura,75.0,249.0,78.0,Orthodox,39.0,3.55,0.48,3.35,0.55,1.39,0.33,0.79,0.1,0.75,24.0,8.0,0.0,0.0,1
Kurt Holobaugh,71.0,155.0,70.0,Orthodox,38.0,4.89,0.44,4.44,0.48,0.87,0.36,0.5,1.1,0.724,21.0,7.0,0.0,1.0,Austin Hubbard,70.0,155.0,71.0,Orthodox,33.0,3.83,0.46,3.37,0.56,1.55,0.52,0.63,0.0,0.696,16.0,7.0,0.0,0.0,1
Wanderlei Silva,71.0,205.0,74.0,Orthodox,48.0,2.79,0.4,2.19,0.6,0.97,0.53,0.62,0.6,0.7,35.0,13.0,1.0,1.0,Michael Bisping,73.0,185.0,75.0,Orthodox,45.0,4.33,0.38,2.71,0.65,1.05,0.43,0.63,0.3,0.769,30.0,9.0,0.0,0.0,1
Jake Ellenberger,69.0,170.0,71.0,Orthodox,39.0,2.47,0.39,2.83,0.6,2.04,0.47,0.86,0.4,0.674,31.0,15.0,0.0,0.0,Kelvin Gastelum,69.0,170.0,71.0,Southpaw,33.0,3.55,0.41,3.23,0.58,0.96,0.3,0.59,0.1,0.643,18.0,9.0,0.0,1.0,0
Mike Swick,73.0,170.0,77.0,Orthodox,45.0,2.36,0.37,2.29,0.54,1.06,0.5,0.61,0.6,0.714,15.0,6.0,0.0,0.0,Damarques Johnson,73.0,170.0,75.0,Orthodox,42.0,2.11,0.37,3.75,0.51,1.18,0.55,0.19,0.7,0.5,15.0,15.0,0.0,0.0,1
Justin Tafa,72.0,264.0,74.0,Southpaw,31.0,5.13,0.55,5.93,0.49,0.0,0.0,1.0,0.0,0.636,7.0,3.0,0.0,1.0,Austen Lane,78.0,245.0,80.0,Orthodox,37.0,4.48,0.47,2.85,0.48,0.0,0.0,0.0,0.0,0.706,12.0,4.0,0.0,1.0,1
Andrew Sanchez,73.0,185.0,74.0,Orthodox,36.0,4.3,0.43,5.1,0.5,2.55,0.36,1.0,0.0,0.65,13.0,7.0,0.0,0.0,Trevor Smith,75.0,185.0,75.0,Orthodox,43.0,3.29,0.55,3.31,0.51,1.7,0.32,0.6,0.7,0.6,15.0,10.0,0.0,0.0,1
Dong Hyun Ma,71.0,155.0,70.0,Orthodox,36.0,2.84,0.41,4.1,0.54,1.27,0.53,0.33,0.0,0.533,16.0,11.0,3.0,0.0,Omar Morales,71.0,155.0,73.0,Orthodox,39.0,3.42,0.4,3.18,0.58,0.46,1.0,0.63,0.0,0.733,11.0,4.0,0.0,0.0,0
Rani Yahya,66.0,135.0,67.0,Orthodox,40.0,1.59,0.37,1.77,0.5,2.86,0.32,0.24,1.9,0.683,28.0,11.0,1.0,1.0,Mike Brown,66.0,145.0,70.0,Orthodox,49.0,2.98,0.44,2.45,0.6,3.23,0.4,0.66,0.6,0.743,26.0,9.0,0.0,0.0,1
Da Woon Jung,76.0,205.0,78.0,Orthodox,31.0,3.49,0.43,3.89,0.51,1.9,0.5,0.77,0.2,0.714,15.0,5.0,1.0,0.0,Devin Clark,72.0,205.0,75.0,Orthodox,34.0,3.03,0.54,3.24,0.44,2.17,0.32,0.58,0.1,0.609,14.0,9.0,0.0,0.0,0
Francis Ngannou,76.0,250.0,83.0,Orthodox,38.0,2.33,0.41,2.16,0.41,0.76,0.62,0.71,0.3,0.85,17.0,3.0,0.0,0.0,Anthony Hamilton,77.0,260.0,76.0,Orthodox,44.0,3.91,0.65,3.02,0.45,2.62,0.42,0.78,0.0,0.625,15.0,9.0,0.0,0.0,1
